sex,age,hours,inctot
1,38,60,32500
2,38,35,15000
1,38,0,7500
1,38,0,-100
2,38,0,0
1,38,60,70000
1,38,60,80000
1,38,50,11000
2,38,40,36000
1,38,43,36000
2,38,0,0
1,38,40,25900
1,38,40,44000
2,38,24,10000
1,38,40,70000
1,38,50,322000
2,38,25,4150
1,38,40,60000
1,38,60,17200
2,38,30,40000
1,38,20,20000
1,38,0,0
2,38,0,0
2,38,40,15000
1,38,45,50000
1,38,40,54100
2,38,40,16600
2,38,0,5200
2,38,64,15500
1,38,40,32000
2,38,36,15000
1,38,38,10500
1,38,40,11000
1,38,60,303000
1,38,60,105000
2,38,4,2000
2,38,40,24000
1,38,48,20000
1,38,40,29500
2,38,40,40900
2,38,40,38000
1,38,38,9100
2,38,40,37000
2,38,0,0
2,38,40,16900
1,38,0,520
1,38,40,84000
2,38,0,100
2,38,50,45000
2,38,40,7800
2,38,40,7000
2,38,40,18000
2,39,40,11500
2,39,20,17000
2,39,20,22000
1,39,48,14000
1,39,55,85000
1,39,70,60000
1,39,40,39400
1,39,4,3600
1,39,0,20000
2,39,36,31000
1,39,50,46900
1,39,50,95000
2,39,50,116000
1,39,55,51000
1,39,50,160000
1,39,44,45500
2,39,25,4000
2,39,40,13700
1,39,0,0
1,39,40,232000
1,39,60,41100
2,39,40,38630
2,39,40,10000
2,39,40,750
1,39,60,10000
2,39,35,2000
2,39,22,7800
1,39,55,132000
2,39,17,4680
1,39,41,23000
1,39,55,39500
2,39,40,29000
2,39,8,18000
1,39,60,42400
1,39,40,80000
2,39,37,48000
1,39,40,150550
2,39,48,28000
2,39,0,0
2,39,32,8900
2,39,42,15000
2,39,40,40000
1,39,0,0
2,39,43,43000
1,39,50,20600
1,39,40,47000
1,39,0,8900
2,39,40,19000
1,39,60,25200
1,39,40,10000
1,39,60,102000
1,39,40,15410
2,39,10,20500
2,39,50,42000
1,39,37,19900
1,39,0,0
2,39,50,23000
2,39,36,45000
1,39,45,25000
2,39,0,0
1,39,40,33000
1,39,55,25000
2,39,50,59690
2,39,40,37000
1,39,40,30400
2,39,40,20000
2,39,48,38000
1,39,60,53000
2,40,0,0
2,40,40,19000
2,40,40,12000
1,40,40,35000
1,40,40,44000
2,40,0,0
2,40,0,0
2,40,40,9000
1,40,50,25200
2,40,35,16800
1,40,50,100000
2,40,45,20000
2,40,40,21000
1,40,40,4000
1,40,45,20000
1,40,56,34400
2,40,40,46500
2,40,40,32500
1,40,0,0
2,40,42,56130
1,40,50,45000
2,40,45,36000
2,40,20,7000
2,40,36,42000
2,40,34,19100
2,40,45,79000
1,40,40,19200
1,40,55,50000
2,40,40,33920
1,40,40,22000
1,40,40,50000
2,40,40,26000
2,40,20,10000
2,40,37,51000
2,40,0,0
2,40,0,7600
1,40,0,6200
2,40,0,7100
2,40,0,0
1,40,40,13100
2,40,40,25000
1,40,40,30000
1,40,45,55100
1,40,0,210
2,40,0,0
1,40,60,65000
1,40,45,39000
1,40,50,10000
2,40,50,48000
1,40,40,12000
2,40,40,121000
1,40,0,8400
1,40,40,71120
2,40,0,0
1,40,60,45000
1,40,55,40100
2,40,35,15010
1,40,40,50000
1,40,60,34440
2,40,20,18900
1,40,70,394000
1,40,40,18000
2,40,40,8300
2,40,20,1500
1,40,50,22000
2,40,0,9400
1,40,40,33000
