"originx","originy","widthx","widthy","totalSpatialLoss","bintype","distrib"
-1.56666666666667,-1.56666666666667,2,2,119824.176301083,"random","Normal"
-1.53333333333333,-1.53333333333333,2,2,75424.7233265648,"standard","Normal"
-1.53333333333333,-1.53333333333333,2,2,116307.507638352,"random","Normal"
-1.5,-1.5,2,2,70710.6781186548,"standard","Normal"
-1.5,-1.5,2,2,112229.244447655,"random","Normal"
-1.46666666666667,-1.46666666666667,2,2,65996.6329107447,"standard","Normal"
-1.46666666666667,-1.46666666666667,2,2,107879.981773986,"random","Normal"
-1.43333333333333,-1.43333333333333,2,2,61282.5877028338,"standard","Normal"
-1.43333333333333,-1.43333333333333,2,2,103052.359248573,"random","Normal"
-1.4,-1.4,2,2,56568.5424949237,"standard","Normal"
-1.4,-1.4,2,2,98055.0000718877,"random","Normal"
-1.36666666666667,-1.36666666666667,2,2,51854.4972870135,"standard","Normal"
-1.36666666666667,-1.36666666666667,2,2,92715.2355640533,"random","Normal"
-1.33333333333333,-1.33333333333333,2,2,47140.4520791034,"standard","Normal"
-1.33333333333333,-1.33333333333333,2,2,86457.8747228248,"random","Normal"
-1.3,-1.3,2,2,42426.4068711925,"standard","Normal"
-1.3,-1.3,2,2,80114.8423477997,"random","Normal"
-1.26666666666667,-1.26666666666667,2,2,37712.3616632824,"standard","Normal"
-1.26666666666667,-1.26666666666667,2,2,73281.5046037219,"random","Normal"
-1.23333333333333,-1.23333333333333,2,2,32998.3164553724,"standard","Normal"
-1.23333333333333,-1.23333333333333,2,2,65760.7287622128,"random","Normal"
-1.2,-1.2,2,2,28284.2712474623,"standard","Normal"
-1.2,-1.2,2,2,58191.5873174571,"random","Normal"
-1.16666666666667,-1.16666666666667,2,2,23570.2260395514,"standard","Normal"
-1.16666666666667,-1.16666666666667,2,2,49743.4195699503,"random","Normal"
-1.13333333333333,-1.13333333333333,2,2,18856.1808316413,"standard","Normal"
-1.13333333333333,-1.13333333333333,2,2,40805.5928348925,"random","Normal"
-1.1,-1.1,2,2,14142.1356237311,"standard","Normal"
-1.1,-1.1,2,2,31350.5696162388,"random","Normal"
-1.06666666666667,-1.06666666666667,2,2,9428.09041582099,"standard","Normal"
-1.06666666666667,-1.06666666666667,2,2,21783.2316778106,"random","Normal"
-1.03333333333333,-1.03333333333333,2,2,4714.04520791008,"standard","Normal"
-1.03333333333333,-1.03333333333333,2,2,10997.6929619606,"random","Normal"
-4,-4,4,4,170685.610009436,"standard","Normal"
-4,-4,4,4,170685.610009436,"random","Normal"
-3.93333333333333,-3.93333333333333,4,4,167407.167649107,"standard","Normal"
-3.93333333333333,-3.93333333333333,4,4,176998.645584364,"random","Normal"
-3.86666666666667,-3.86666666666667,4,4,164252.002454205,"standard","Normal"
-3.86666666666667,-3.86666666666667,4,4,183635.496715029,"random","Normal"
-3.8,-3.8,4,4,161232.992503078,"standard","Normal"
-3.8,-3.8,4,4,189459.145862252,"random","Normal"
-3.73333333333333,-3.73333333333333,4,4,158364.194170349,"standard","Normal"
-3.73333333333333,-3.73333333333333,4,4,195397.291350194,"random","Normal"
-3.66666666666667,-3.66666666666667,4,4,155660.814256453,"standard","Normal"
-3.66666666666667,-3.66666666666667,4,4,200381.017390661,"random","Normal"
-3.6,-3.6,4,4,153139.118857524,"standard","Normal"
-3.6,-3.6,4,4,204841.163583608,"random","Normal"
-3.53333333333333,-3.53333333333333,4,4,150816.259774866,"standard","Normal"
-3.53333333333333,-3.53333333333333,4,4,208612.359428632,"random","Normal"
-3.46666666666667,-3.46666666666667,4,4,148709.999779923,"standard","Normal"
-3.46666666666667,-3.46666666666667,4,4,212420.158953701,"random","Normal"
-3.4,-3.4,4,4,146838.322171006,"standard","Normal"
-3.4,-3.4,4,4,214532.604749934,"random","Normal"
-3.33333333333333,-3.33333333333333,4,4,145218.919136522,"standard","Normal"
-3.33333333333333,-3.33333333333333,4,4,217141.842283733,"random","Normal"
-3.26666666666667,-3.26666666666667,4,4,143868.568214813,"standard","Normal"
-3.26666666666667,-3.26666666666667,4,4,219567.751730587,"random","Normal"
-3.2,-3.2,4,4,142802.425951737,"standard","Normal"
-3.2,-3.2,4,4,221516.342701359,"random","Normal"
-3.13333333333333,-3.13333333333333,4,4,142033.289922182,"standard","Normal"
-3.13333333333333,-3.13333333333333,4,4,221632.456895592,"random","Normal"
-3.06666666666667,-3.06666666666667,4,4,141570.899548295,"standard","Normal"
-3.06666666666667,-3.06666666666667,4,4,223373.772403888,"random","Normal"
-3,-3,4,4,141421.35623731,"standard","Normal"
-3,-3,4,4,222698.234342556,"random","Normal"
-2.93333333333333,-2.93333333333333,4,4,141586.738740194,"standard","Normal"
-2.93333333333333,-2.93333333333333,4,4,223404.020444466,"random","Normal"
-2.86666666666667,-2.86666666666667,4,4,142064.968305979,"standard","Normal"
-2.86666666666667,-2.86666666666667,4,4,221737.051072997,"random","Normal"
-2.8,-2.8,4,4,142849.943527432,"standard","Normal"
-2.8,-2.8,4,4,221158.563072418,"random","Normal"
-2.73333333333333,-2.73333333333333,4,4,143931.924982407,"standard","Normal"
